CATALOG_NAME,SCHEMA_NAME
PRD_BRB_A1769,PRD_SRV_BRB_A1769_BRB
PRD_BRB_A1769,PRD_SRV_BRB_A1769_NONRETAIL
PRD_BRB_A1769,PRD_SRV_BRB_A1769_RETAIL
PRD_BSF_A5428,PRD_UV_BSF_A5428_BSF_ALERT
PRD_BVN_A5800,APP
PRD_BVN_A5800,PRD_BOV_BVN_A5800_EVENTS
PRD_BWM_A5215,PRD_LAB_BWM_A5215_BWM
PRD_BWM_A5215,PRD_UV_BWM_A5215_BWM
PRD_CBA_A5800,APP
PRD_CBA_A5800,PRD_BOV_CBA_A5800_BANK_DETAILS
PRD_CCF_A5097,PRD_SRV_CCF_A5097_CCF
PRD_CCR_A5717,APP
PRD_CCR_A5717,PRD_SRV_CCR_A5717_CCR
PRD_CCR_A5717,PRD_UV_CCR_A5717_CCR
PRD_CCW_A1933,PRD_SRV_CCW_A1933_TECHLOGS
PRD_CDL_A1604,PRD_SRV_CDL_A1604_CDL
PRD_CDN_A5299,PRD_SRV_CDN_A5299_AOC_AN008
PRD_CDN_A5299,PRD_SRV_CDN_A5299_BAR_AN937
PRD_CDN_A5299,PRD_SRV_CDN_A5299_BCC_AN336
PRD_CDN_A5299,PRD_SRV_CDN_A5299_BEN_AN337
PRD_CDN_A5299,PRD_SRV_CDN_A5299_ETN_AN893
PRD_CDN_A5299,PRD_SRV_CDN_A5299_GRI_AN658
PRD_CDN_A5299,PRD_SRV_CDN_A5299_LBA_AN152
PRD_CDN_A5299,PRD_SRV_CDN_A5299_MPA_AN168
PRD_CDN_A5299,PRD_SRV_CDN_A5299_MPR_AN170
PRD_CDN_A5299,PRD_SRV_CDN_A5299_TDC_AN268
PRD_CDN_A5299,PRD_SRV_CDN_A5299_TEX_AN270
PRD_CDN_A5299,PRD_SRV_CDN_A5299_TIM_AN272
PRD_CDN_A5299,PRD_SRV_CDN_A5299_VCO_AN280_FCM_A0166
PRD_CDN_A5299,PRD_SRV_CDN_A5299_VCO_AN280_GAC_A0779
PRD_CDN_A5299,PRD_SRV_CDN_A5299_VCO_AN280_HMO_A0658_SAA
PRD_CDN_A5299,PRD_SRV_CDN_A5299_VCO_AN280_RCM_A1423
PRD_CDN_A5299,PRD_SRV_CDN_A5299_VCO_AN280_TRC_A0657
PRD_CDS_A5452,APP
PRD_CEB_A0163,PRD_SRV_CEB_A0163_BDDF
PRD_CEB_A0163,PRD_SRV_CEB_A0163_CDN
PRD_CEB_A0163,PRD_SRV_CEB_A0163_REA_A1972_BDDF
PRD_CFC_A0700,PRD_SRV_CFC_A0700_CFC
